                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.96199,                 1.2099,                 1.0153,                0.43252,                0.05882,                0.05685,                0.03937,                 1.6074,                 3.7434,                 1.5842,             0.00049667,             0.00049667,             0.00049667
                     46,                 1.1983,                 1.2837,                 1.0277,                0.43252,                0.05882,                0.05685,                0.03937,                 1.6074,                 3.7434,                 1.5842,             0.00049905,             0.00049905,             0.00049905
                     47,                0.94146,                 1.0366,                 1.0122,                 0.4572,                0.05882,                0.05579,                0.03905,                 1.6076,                  3.787,                 1.5902,             0.00050103,             0.00050103,             0.00050103
                     48,                 1.0615,                 1.0758,                 1.1144,                 0.4572,                0.05882,                0.05579,                0.03905,                 1.6076,                  3.787,                 1.5902,             0.00050262,             0.00050262,             0.00050262
                     49,                 1.0546,                 1.4706,                 1.2019,                0.41409,                0.05882,                0.02931,                0.02273,                 1.6346,                 3.8051,                 1.5859,             0.00050381,             0.00050381,             0.00050381
                     50,                 1.0074,                 1.0675,                 1.0437,                0.41409,                0.05882,                0.02931,                0.02273,                 1.6346,                 3.8051,                 1.5859,              0.0005046,              0.0005046,              0.0005046
                     51,                 1.1617,                 1.3836,                 1.1618,                0.42392,                0.05882,                 0.0293,                0.01728,                 1.7199,                 3.7434,                  1.574,               0.000505,               0.000505,               0.000505
                     52,                 0.9913,                0.97589,                 1.0365,                0.42392,                0.05882,                 0.0293,                0.01728,                 1.7199,                 3.7434,                  1.574,               0.000505,               0.000505,               0.000505
                     53,                0.95082,                 1.0624,                 1.0276,                0.42392,                0.05882,                 0.0293,                0.01728,                 1.7199,                 3.7434,                  1.574,             0.00050461,             0.00050461,             0.00050461
                     54,                 1.1959,                 1.4281,                 1.2324,                0.41741,                0.05882,                0.03025,                0.01796,                 1.7158,                 3.7116,                  1.527,             0.00050382,             0.00050382,             0.00050382
                     55,                0.92151,                 1.0113,                 0.9895,                0.41741,                0.05882,                0.03025,                0.01796,                 1.7158,                 3.7116,                  1.527,             0.00050263,             0.00050263,             0.00050263
                     56,                0.95618,                 1.0109,                0.99693,                0.41741,                0.05882,                0.03025,                0.01796,                 1.7158,                 3.7116,                  1.527,             0.00050105,             0.00050105,             0.00050105
                     57,                 1.0359,                 1.1571,                 1.0675,                0.46502,                0.05882,                0.05901,                0.02984,                 1.6506,                  3.653,                    1.5,             0.00049907,             0.00049907,             0.00049907
                     58,                0.83004,                 1.0714,                 0.9782,                0.46502,                0.05882,                0.05901,                0.02984,                 1.6506,                  3.653,                    1.5,              0.0004967,              0.0004967,              0.0004967
                     59,                0.98458,                0.97377,                 1.0527,                0.46502,                0.05882,                0.05901,                0.02984,                 1.6506,                  3.653,                    1.5,             0.00049393,             0.00049393,             0.00049393
                     60,                0.84853,                  1.214,                 1.0619,                0.68751,                0.05882,                0.06036,                0.03037,                  1.607,                 3.5845,                 1.4626,             0.00049076,             0.00049076,             0.00049076
                     61,                0.92414,                0.93003,                0.96193,                0.68751,                0.05882,                0.06036,                0.03037,                  1.607,                 3.5845,                 1.4626,              0.0004872,              0.0004872,              0.0004872
                     62,                0.97315,                0.91503,                 1.0885,                0.68751,                0.05882,                0.06036,                0.03037,                  1.607,                 3.5845,                 1.4626,             0.00048324,             0.00048324,             0.00048324
                     63,                 1.1552,                 1.8642,                  1.249,                0.81651,                0.05882,                0.06172,                0.03094,                 1.5806,                 3.5109,                 1.4268,             0.00047889,             0.00047889,             0.00047889
                     64,                 1.0345,                 1.0514,                 1.1045,                0.81651,                0.05882,                0.06172,                0.03094,                 1.5806,                 3.5109,                 1.4268,             0.00047414,             0.00047414,             0.00047414
